date,China,USA,Vietnam,Australia,Japan,HongKong,Singapore,Norway,Panama,Taiwan
2000-01-01,11960508,6102798,1802429,1022867,2992686,2190757,1943435,28810,192689,1351484
2000-01-01,11984393,5318312,1698775,828088,2520906,2280062,1743188,15483,73823,1295503
2000-01-01,12700146,5664961,1886506,871887,2702707,2298876,2325190,57253,76778,1230674
2000-01-01,12471043,6304664,1943243,735101,2499017,2500869,1372787,11546,64470,1178254
2000-01-01,13165238,6239395,2104342,904582,2393255,2419357,1314102,53296,280094,1252788
2000-01-01,12493015,6011443,2403077,760970,2251307,2607539,1717014,11978,491016,1060959
2000-01-01,12083947,5561545,2163836,669526,2138398,2170483,1112317,7798,304673,863267
2000-01-01,9927642,5021264,1967141,1825243,2000724,1810259,852298,2435701,49051,974584
2000-01-01,11868032,6795064,2443344,759678,2127216,2545224,1586323,299554,216367,1102064
2000-01-01,11765637,6204676,2461287,812755,2380419,2650180,1166927,136414,287872,1146417
2000-01-01,10927133,5623941,2244149,823557,2331637,2559831,1044615,77915,146115,991491
2000-01-01,11348693,6503944,2431976,966664,2230059,2491015,1209596,571685,247366,1055494
2000-01-01,11180021,6184652,2633166,1022559,2126238,2630865,1009743,637133,174021,998497
2000-01-01,10883915,5059167,2245105,797825,1870365,2487845,1307027,10843,203800,829827
2000-01-01,12045381,5464307,2391607,836199,2037367,2739692,1518496,10076,36857,889162
2000-01-01,11610771,5519655,2179079,793513,2022536,2839574,1397685,16775,28812,1046592
2000-01-01,10989747,5882444,2206982,762147,2060241,2885670,1089124,563159,44299,1045908
2000-01-01,11088002,5401982,2886439,661466,2103254,2961775,1037710,24174,225801,1236790
2000-01-01,9480540,5040734,1984725,654736,1792002,2113289,1014089,8318,67948,819716
2000-01-01,8641815,5222510,2318556,582153,1696097,2170209,1200842,10582,107226,766092
2000-01-01,10420522,6544965,2783409,570344,2050549,2328129,841245,577473,57009,1004232
2000-01-01,9613431,5823758,2770463,727666,1776555,2431257,1233522,102918,81868,926075
2000-01-01,9928386,5669350,2647732,594981,2041331,2657287,961625,13925,88599,929800
2000-01-01,10182598,6053159,2668363,612000,2150804,3031085,1143619,1615605,96337,1026045
2000-01-01,10133980,5290588,2817811,730532,2067445,2774939,963683,162460,129273,973517
2000-01-01,10304262,4818513,2750600,464109,2010574,3230570,960680,288019,140761,1008757
2000-01-01,10953271,5132438,2796647,524080,2168025,2865857,902718,264410,24393,1078074
2000-01-01,11632781,5723086,3015088,705941,2275227,2954781,1412226,358902,252242,1304056
2000-01-01,12053353,5741228,3190624,672735,2223174,3263272,786935,82513,169531,1147301
2000-01-01,12580474,4940101,3864652,773651,2130048,3657236,896780,242502,155381,1138593
2000-01-01,10754709,4726842,2791265,672081,1847999,2721286,801623,233089,22306,1028382
2000-01-01,11118131,5312453,3181297,667960,2044853,2854473,839080,20170,117046,1132744
